,start_datetime,end_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_date,cme_time,cme_angle,cme_width,cme_speed,isHalo,rank,x_classification,region,max_datetime
474,2014-10-21 12:33:00,2014-10-21 13:01:00,14000,8900,S18E36,12192,C4.4,10/21,12:48,152,142,260,False,,,,
28,1998-11-02 14:00:00,1998-11-02 14:40:00,14000,4000,S25E44,8373,C4.4,11/02,14:18,116,169,661,False,,,,
408,2013-06-28 01:53:00,2013-06-28 03:26:00,14000,400,S18W19,11777,C4.4,06/28,02:00,,360,1037,True,,,,
261,2004-07-23 19:00:00,2004-07-23 19:35:00,10000,2500,N04W05,10652,C4.1,07/23,19:31,209,100,874,False,,,,
91,2000-10-25 09:30:00,2000-10-26 00:00:00,10000,300,N09W63,9199,C4.0,10/25,08:26,,360,770,True,,,,
383,2012-04-09 12:20:00,2012-04-09 13:00:00,16000,5000,N20W65,11451,C3.9,04/09,12:36,,360,921,True,,,,
395,2012-09-27 23:55:00,2012-09-28 10:15:00,16000,250,N06W34,11577,C3.7,09/28,00:12,,360,947,True,,,,
184,2002-05-27 12:50:00,2002-05-27 13:50:00,14000,5000,N18E18,9967,C3.7,05/27,13:27,49,161,1106,False,,,,
351,2011-06-02 08:00:00,2011-06-02 08:25:00,15000,4000,S19E25,11227,C3.7,06/02,08:12,,360,976,True,,,,
440,2014-01-20 22:24:00,2014-01-20 22:36:00,14000,8000,S07E67,DIM,C3.6,01/20,22:00,,360,721,True,,,,
323,2006-08-16 15:45:00,2006-08-16 22:15:00,14000,400,S16W08,10904,C3.6,08/16,16:30,,360,888,True,,,,
43,1999-06-28 21:03:00,1999-06-28 21:10:00,3500,1500,N22W44,8592,C3.5,06/28,21:30,336,184,903,False,,,,
190,2002-07-18 20:55:00,2002-07-18 21:40:00,6000,3000,E90b,10036,C3.3,07/18,19:31,,360,2191,True,,,,
92,2000-11-03 18:35:00,2000-11-03 18:45:00,4000,2500,N02W02,9213,C3.2,11/03,18:26,,360,291,True,,,,
179,2002-04-30 14:15:00,2002-04-30 14:23:00,4000,2500,S16E77,9934,C3.2,04/30,14:26,92,90,618,False,,,,
339,2010-08-01 09:20:00,2010-08-01 17:30:00,2000,700,N20E36,11092,C3.2,,,,,,False,,,,
170,2002-03-17 06:00:00,2002-03-17 06:35:00,3000,1000,S20E24,9871,C3.1,03/17,04:06,141,56,658,False,,,,
473,2014-10-10 18:11:00,2014-10-10 18:33:00,2500,1500,S20W51,EP,C3.0,10/10,16:12,309,210,782,False,,,,
516,2017-09-12 07:38:00,2017-09-12 07:43:00,16000,13000,N08E48,12680,C3.0,09/12,08:03,124,96,252,False,,,,
27,1998-06-22 07:15:00,1998-06-22 09:20:00,6000,2000,N16W46,8243,C2.9,06/22,05:01,265,59,206,False,,,,
489,2015-06-09 20:23:00,2015-06-09 22:35:00,2300,200,S03E25,12364,C2.8,06/09,20:12,77,262,1036,False,,,,
315,2005-09-05 10:40:00,2005-09-06 00:00:00,1500,60,S07E81,,C2.7,09/05,09:48,,360,2326,True,,,,
401,2013-04-21 20:25:00,2013-04-21 22:12:00,14000,1700,S19W53,11723,C2.7,04/21,20:36,255,212,562,False,,,,
497,2015-09-18 04:54:00,2015-09-18 09:52:00,14000,400,S21W10,12415,C2.6,09/18,05:00,201,131,823,False,,,,
260,2004-06-23 06:30:00,2004-06-23 08:55:00,14000,5000,S09W21,10635,C2.5,,,,,,False,,,,
