,start_datetime,end_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_date,cme_time,cme_angle,cme_width,cme_speed,isHalo,rank,x_classification,region,max_datetime
475,2014-11-08 16:57:00,2014-11-08 17:18:00,14000,7800,W90b,12203,,11/08,16:36,305,141,426,False,,,,
476,2014-12-13 14:27:00,2014-12-13 14:51:00,14000,3900,W90b,,,12/13,14:24,,360,2222,True,,,,
485,2015-03-24 09:00:00,2015-03-24 11:47:00,14000,400,SW90b,,,03/24,08:24,,360,1794,True,,,,
486,2015-04-26 03:21:00,2015-04-26 03:33:00,8000,4600,W90b,,,04/26,03:24,,360,820,True,,,,
488,2015-05-12 03:00:00,2015-05-12 03:04:00,14000,6400,W90b,,,05/12,02:48,286,250,772,False,,,,
495,2015-07-01 16:08:00,2015-07-01 20:47:00,1000,150,W90b,,,07/01,14:36,,360,1435,True,,,,
505,2016-02-05 20:28:00,2016-02-05 23:31:00,1650,500,,,,,,,,,False,,,,
506,2016-02-05 22:35:00,2016-02-05 22:55:00,5200,1900,S17W29,,,02/05,21:24,193,155,445,False,,,,
508,2016-05-24 17:00:00,2016-05-24 20:50:00,1500,700,,,,,,,,,False,,,,
509,2016-08-15 18:21:00,2016-08-15 18:28:00,11000,3400,E90b,,,08/15,17:24,75,98,633,False,,,,
510,2017-04-23 06:00:00,2017-04-23 06:13:00,15000,8300,N16E41,,,04/23,06:00,85,77,955,False,,,,
512,2017-07-23 05:27:00,2017-07-23 06:12:00,4400,900,BACK,,,07/23,04:48,,360,1848,True,,,,
517,2017-09-17 11:45:00,2017-09-17 12:35:00,16000,900,S08E170,,,09/17,12:00,,360,1385,True,,,,
0,2003-11-04 19:29:00,2003-11-04 20:06:00,,,,,,,,,,,,1.0,X28,486.0,2003-11-04 19:53:00
1,2001-04-02 21:32:00,2001-04-02 22:03:00,,,,,,,,,,,,2.0,X20,9393.0,2001-04-02 21:51:00
2,2003-10-28 09:51:00,2003-10-28 11:24:00,,,,,,,,,,,,3.0,X17.2,486.0,2003-10-28 11:10:00
3,2005-09-07 17:17:00,2005-09-07 18:03:00,,,,,,,,,,,,4.0,X17,808.0,2005-09-07 17:40:00
4,2001-04-15 13:19:00,2001-04-15 13:55:00,,,,,,,,,,,,5.0,X14.4,9415.0,2001-04-15 13:50:00
5,2003-10-29 20:37:00,2003-10-29 21:01:00,,,,,,,,,,,,6.0,X10,486.0,2003-10-29 20:49:00
6,1997-11-06 11:49:00,1997-11-06 12:01:00,,,,,,,,,,,,7.0,X9.4,8100.0,1997-11-06 11:55:00
7,2017-09-06 11:53:00,2017-09-06 12:10:00,,,,,,,,,,,,8.0,X9.3,2673.0,2017-09-06 12:02:00
8,2006-12-05 10:18:00,2006-12-05 10:45:00,,,,,,,,,,,,9.0,X9,930.0,2006-12-05 10:35:00
9,2003-11-02 17:03:00,2003-11-02 17:39:00,,,,,,,,,,,,10.0,X8.3,486.0,2003-11-02 17:25:00
10,2017-09-10 15:35:00,2017-09-10 16:31:00,,,,,,,,,,,,11.0,X8.2,2673.0,2017-09-10 16:06:00
11,2005-01-20 06:36:00,2005-01-20 07:26:00,,,,,,,,,,,,12.0,X7.1,720.0,2005-01-20 07:01:00
12,2011-08-09 07:48:00,2011-08-09 08:08:00,,,,,,,,,,,,13.0,X6.9,1263.0,2011-08-09 08:05:00
13,2006-12-06 18:29:00,2006-12-06 19:00:00,,,,,,,,,,,,14.0,X6.5,930.0,2006-12-06 18:47:00
14,2005-09-09 19:13:00,2005-09-09 20:36:00,,,,,,,,,,,,15.0,X6.2,808.0,2005-09-09 20:04:00
15,2001-12-13 14:20:00,2001-12-13 14:35:00,,,,,,,,,,,,16.0,X6.2,9733.0,2001-12-13 14:30:00
16,2000-07-14 10:03:00,2000-07-14 10:43:00,,,,,,,,,,,,17.0,X5.7,9077.0,2000-07-14 10:24:00
17,2001-04-06 19:10:00,2001-04-06 19:31:00,,,,,,,,,,,,18.0,X5.6,9415.0,2001-04-06 19:21:00
18,2012-03-07 00:02:00,2012-03-07 00:40:00,,,,,,,,,,,,19.0,X5.4,1429.0,2012-03-07 00:24:00
19,2005-09-08 20:52:00,2005-09-08 21:17:00,,,,,,,,,,,,20.0,X5.4,808.0,2005-09-08 21:06:00
20,2003-10-23 08:19:00,2003-10-23 08:49:00,,,,,,,,,,,,21.0,X5.4,486.0,2003-10-23 08:35:00
21,2001-08-25 16:23:00,2001-08-25 17:04:00,,,,,,,,,,,,22.0,X5.3,9591.0,2001-08-25 16:45:00
22,2014-02-25 00:39:00,2014-02-25 01:03:00,,,,,,,,,,,,23.0,X4.9,1990.0,2014-02-25 00:49:00
23,1998-08-18 22:10:00,1998-08-18 22:28:00,,,,,,,,,,,,24.0,X4.9,8307.0,1998-08-18 22:19:00
24,2002-07-23 00:18:00,2002-07-23 00:47:00,,,,,,,,,,,,25.0,X4.8,39.0,2002-07-23 00:35:00
25,2000-11-26 16:34:00,2000-11-26 16:56:00,,,,,,,,,,,,26.0,X4,9236.0,2000-11-26 16:48:00
26,2003-11-03 09:43:00,2003-11-03 10:19:00,,,,,,,,,,,,27.0,X3.9,488.0,2003-11-03 09:55:00
27,1998-08-19 21:35:00,1998-08-19 21:50:00,,,,,,,,,,,,28.0,X3.9,8307.0,1998-08-19 21:45:00
28,2005-01-17 06:59:00,2005-01-17 10:07:00,,,,,,,,,,,,29.0,X3.8,720.0,2005-01-17 09:52:00
29,1998-11-22 06:30:00,1998-11-22 06:49:00,,,,,,,,,,,,30.0,X3.7,8384.0,1998-11-22 06:42:00
30,2005-09-09 09:42:00,2005-09-09 10:08:00,,,,,,,,,,,,31.0,X3.6,808.0,2005-09-09 09:59:00
31,2004-07-16 13:49:00,2004-07-16 14:01:00,,,,,,,,,,,,32.0,X3.6,649.0,2004-07-16 13:55:00
32,2003-05-28 00:17:00,2003-05-28 00:39:00,,,,,,,,,,,,33.0,X3.6,365.0,2003-05-28 00:27:00
33,2006-12-13 02:14:00,2006-12-13 02:57:00,,,,,,,,,,,,34.0,X3.4,930.0,2006-12-13 02:40:00
34,2001-12-28 20:02:00,2001-12-28 21:32:00,,,,,,,,,,,,35.0,X3.4,9767.0,2001-12-28 20:45:00
35,2013-11-05 22:07:00,2013-11-05 22:15:00,,,,,,,,,,,,36.0,X3.3,1890.0,2013-11-05 22:12:00
36,2002-07-20 21:04:00,2002-07-20 21:54:00,,,,,,,,,,,,37.0,X3.3,39.0,2002-07-20 21:30:00
37,1998-11-28 04:54:00,1998-11-28 06:13:00,,,,,,,,,,,,38.0,X3.3,8395.0,1998-11-28 05:52:00
38,2013-05-14 00:00:00,2013-05-14 01:20:00,,,,,,,,,,,,39.0,X3.2,1748.0,2013-05-14 01:11:00
39,2014-10-24 21:07:00,2014-10-24 22:13:00,,,,,,,,,,,,40.0,X3.1,2192.0,2014-10-24 21:41:00
40,2002-08-24 00:49:00,2002-08-24 01:31:00,,,,,,,,,,,,41.0,X3.1,69.0,2002-08-24 01:12:00
41,2002-07-15 19:59:00,2002-07-15 20:14:00,,,,,,,,,,,,42.0,X3,30.0,2002-07-15 20:08:00
42,2013-05-13 15:48:00,2013-05-13 16:16:00,,,,,,,,,,,,43.0,X2.8,1748.0,2013-05-13 16:05:00
43,2001-12-11 07:58:00,2001-12-11 08:14:00,,,,,,,,,,,,44.0,X2.8,9733.0,2001-12-11 08:08:00
44,1998-08-18 08:14:00,1998-08-18 08:32:00,,,,,,,,,,,,45.0,X2.8,8307.0,1998-08-18 08:24:00
45,2015-05-05 22:05:00,2015-05-05 22:15:00,,,,,,,,,,,,46.0,X2.7,2339.0,2015-05-05 22:11:00
46,2003-11-03 01:09:00,2003-11-03 01:45:00,,,,,,,,,,,,47.0,X2.7,488.0,2003-11-03 01:30:00
47,1998-05-06 07:58:00,1998-05-06 08:20:00,,,,,,,,,,,,48.0,X2.7,8210.0,1998-05-06 08:09:00
48,2005-01-15 22:25:00,2005-01-15 23:31:00,,,,,,,,,,,,49.0,X2.6,720.0,2005-01-15 23:02:00
49,2001-09-24 09:32:00,2001-09-24 11:09:00,,,,,,,,,,,,50.0,X2.6,9632.0,2001-09-24 10:38:00
