,start_datetime,end_datetime_x,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_date,cme_time,cme_angle,cme_width,cme_speed,isHalo,width_lower_bound,rank,region,max_datetime,end_datetime_y
57,2005-01-17 10:00:00,2005-01-17 10:35:00,6100,1500,N15W25,10720,3.8,01/17,09:54,,360,2547,True,False,,,,
58,2005-01-19 09:20:00,2005-01-20 00:00:00,5300,40,N15W51,10720,1.3,01/19,08:29,,360,2020,True,False,,,,
60,2005-07-14 11:00:00,2005-07-14 12:54:00,3000,800,N11W90,10786,1.2,07/14,10:54,,360,2115,True,False,,,,
61,2005-07-30 07:40:00,2005-07-30 20:00:00,9000,80,N12E60,10792,1.3,07/30,06:50,,360,1968,True,False,,,,
62,2005-09-07 18:05:00,2005-09-08 00:00:00,12000,200,S11E77,10808,1.7,,,,,,False,False,,,,
64,2005-09-10 21:45:00,2005-09-11 01:00:00,14000,200,S13E47,10808,2.1,09/10,21:52,,360,1893,True,False,,,,
65,2005-09-13 20:20:00,2005-09-15 06:00:00,1100,35,S09E10,10808,1.5,09/13,20:00,,360,1866,True,False,,,,
69,2006-12-14 22:30:00,2006-12-14 23:40:00,14000,1500,S06W46,10930,1.5,12/14,22:30,,360,1042,True,False,,,,
70,2011-02-15 02:10:00,2011-02-15 07:00:00,16000,400,S20W12,11158,2.2,02/15,02:24,,360,669,True,False,,,,
72,2011-09-06 22:30:00,2011-09-07 15:40:00,16000,150,N14W18,11283,2.1,09/06,23:05,,360,575,True,False,,,,
73,2011-09-22 11:05:00,2011-09-23 00:00:00,14000,70,N09E89,11302,1.4,09/22,10:48,,360,1905,True,False,,,,
74,2012-01-27 18:30:00,2012-01-28 04:45:00,16000,150,N27W71,11402,1.7,01/27,18:27,,360,2508,True,False,,,,
75,2012-03-05 04:00:00,2012-03-05 12:20:00,16000,400,N17E52,11429,1.1,03/05,04:00,,360,1531,True,False,,,,
77,2012-07-06 23:10:00,2012-07-07 03:40:00,16000,300,S13W59,11515,1.1,07/06,23:24,,360,1828,True,False,,,,
78,2012-07-12 16:45:00,2012-07-13 09:00:00,14000,250,S15W01,11520,1.4,07/12,16:48,,360,885,True,False,,,,
79,2013-05-13 02:20:00,2013-05-13 03:00:00,16000,2000,N11E90,11748,1.7,05/13,02:00,,360,1270,True,False,,,,
82,2013-05-15 01:49:00,2013-05-15 07:57:00,16000,230,N12E64,11748,1.2,05/15,01:48,,360,1366,True,False,,,,
83,2013-10-25 15:08:00,2013-10-25 22:32:00,16000,200,S06E69,11882,2.1,10/25,15:12,,360,1081,True,False,,,,
84,2013-11-19 10:39:00,2013-11-19 20:20:00,14000,100,S14W70,11893,1.0,11/19,10:36,,360,740,True,False,,,,
85,2014-01-07 18:33:00,2014-01-08 21:00:00,14000,60,S15W11,11943,1.2,01/07,18:24,,360,1830,True,False,,,,
87,2014-06-10 12:58:00,2014-06-10 15:00:00,16000,1000,S17E82,12087,1.5,06/10,13:30,,360,1469,True,False,,,,
88,2014-09-10 17:45:00,2014-09-11 12:00:00,14000,100,N14E02,12158,1.6,09/10,18:00,,360,1267,True,False,,,,
91,2017-09-10 16:02:00,2017-09-11 06:50:00,16000,150,S09W92,,8.3,09/10,16:00,,360,3163,True,False,,,,
